Row,words,uppercases,questions,exclamations,authors,citations,firstperson,secondperson,thirdperson,sentencelength,repetitiveness,authorHits,titleUppercase,errorLevel,sentiment,informativeness,superlativesPerWords,superlativesPerAdjectives,usedsources,internsources,externsources,usedimages
words,1,-0.117695012090939,0.0158675412567266,0.00352427612975622,0.475195887116245,-0.211764370916601,-0.139559991470039,-0.0978963883490764,0.055214850836046,0.0483897851632475,-0.790076280063972,-0.0633617601822324,-0.158092527387751,0.0583795970879282,0.0197723113282682,0.18859533127399,0.0521305161036699,0.0571524365510253,0.138523816186371,0.104282646930686,0.0938410275380052,-0.281253078445167
p1,1,0.0969547628338595,0.823528964412231,0.960498093720078,1.16112462723339e-12,0.00261038283394228,0.0487282836136457,0.167863615661375,0.437421891446966,0.496223230443303,5.92194748157076e-44,0.372741413330113,0.0253628191309211,0.411567764341706,0.781091280224072,0.00748483467633344,0.463488618649159,0.421484402172841,0.0504434120818961,0.141685014041433,0.186263854497312,5.47589326927722e-05
uppercases,-0.117695012090939,1,0.161694475673573,0.377401223571584,-0.0791552298181412,0.0442018453698967,0.110896836408424,0.0812762681818908,0.214502956788884,0.0334519572877814,0.166107863550654,-0.0119539173236005,0.0266504087358549,0.0243839630010635,-0.0515741520856575,-0.11185741594652,-0.0848386926366078,-0.0774141001479929,-0.0384166704108749,-0.0156078048799074,-0.0173558381833947,0.214590024505871
p2,0.0969547628338595,1,0.0221698414039305,3.61110461795844e-08,0.265212047032529,0.534274546414594,0.117978845133812,0.252578322927415,0.00228766513967739,0.638177513230155,0.018735605740052,0.866583055657988,0.707959566630036,0.731800989205471,0.468280398234223,0.1148092868876,0.232308017132782,0.275900657739049,0.589136480395472,0.826371555032488,0.807286188974151,0.00227802739904238
questions,0.0158675412567266,0.161694475673573,1,-0.0657120273567939,-0.0860790774046304,-0.0872592302404939,0.16418650299978,-0.0586080506982575,0.133469170357355,-0.160801067590933,-0.0749750505436021,0.0447302717892186,0.126402489425821,0.0378791135672894,0.0705373719008082,-0.0168722785170241,0.0587955702447317,0.019558971563994,-0.0351165893890372,-0.0368691587067915,-0.00660530150720306,-0.0382501465625679
p3,0.823528964412231,0.0221698414039305,1,0.35523483736493,0.225526745727895,0.219206114641205,0.0201693845411256,0.409736928410642,0.0595451581636649,0.0229275936462578,0.291358035477966,0.52939395680143,0.074495662709019,0.59436243542687,0.320937448027735,0.812554920582149,0.408237737413205,0.783394486879813,0.621544189636314,0.604237318339471,0.926039758349589,0.590753121499356
exclamations,0.00352427612975622,0.377401223571584,-0.0657120273567939,1,-0.094302294718325,-0.0436376471964673,0.0592763024277936,0.260381333556792,-0.137086344325376,-0.0649360109291789,0.0496900295455395,0.0418590082972036,-0.0105100747843176,-0.10877472894708,-0.0271142501986286,0.04535599706186,-0.0148581596208226,-0.0304702238083059,-0.064183263602473,-0.108056855762611,-0.0497191616920524,0.059419588436968
p4,0.960498093720078,3.61110461795844e-08,0.35523483736493,1,0.184099344382873,0.539510291267713,0.404409196770015,0.00019632037383232,0.0529056521676115,0.360957384605974,0.484708131457625,0.556181118397897,0.882573745745533,0.125222231587546,0.703114217398529,0.523643949455735,0.834588323979819,0.668423600856742,0.366562841856906,0.127748919085928,0.484451790445947,0.403272207146068
authors,0.475195887116245,-0.0791552298181412,-0.0860790774046304,-0.094302294718325,1,0.111412837923405,-0.127609284399479,-0.160651717912988,0.0330837831076759,-0.014936469659207,-0.423201789254273,0.0592264015834348,-0.258438357530605,0.100116602169429,-0.0328046671597437,0.0672230622585563,-0.0518839354965849,-0.0276116720860378,0.155410673412092,0.234095602866248,0.100148076972483,-0.0267964318212033
p5,1.16112462723339e-12,0.265212047032529,0.225526745727895,0.184099344382873,1,0.116267866012753,0.0717462228869267,0.0230564199789918,0.641881307800922,0.833729122246887,4.28367295009898e-10,0.404805611627263,0.000219946367964599,0.158381975843307,0.644695096105635,0.344256160551653,0.465608983571022,0.697931352956104,0.0279896569825399,0.00084888804924362,0.158250514592988,0.706432913256357
citations,-0.211764370916601,0.0442018453698967,-0.0872592302404939,-0.0436376471964673,0.111412837923405,1,0.0260473411818118,-0.0257962021274982,-0.0267524974715124,0.227060974235791,0.229813993547664,-0.0830479385545803,-0.177210749730402,-0.0303954652391209,-0.125682602140174,-0.250589121201815,-0.125218080153715,-0.121169870049973,0.0590110313739308,0.179303003021993,-0.0195812643760619,0.20647545549793
p6,0.00261038283394228,0.534274546414594,0.219206114641205,0.539510291267713,0.116267866012753,1,0.714276851381123,0.716913367833141,0.706892118539575,0.00122353135960489,0.00106180613691485,0.242349519474252,0.0120618312532836,0.669189107432173,0.0761760589479373,0.000345009154857259,0.0772765633359796,0.0874207498760031,0.406519167094558,0.0110708198471844,0.783153726136522,0.00335297175633541
firstperson,-0.139559991470039,0.110896836408424,0.16418650299978,0.0592763024277936,-0.127609284399479,0.0260473411818118,1,0.0230138724537967,0.278185907275138,-0.239773086210475,0.0730488511162619,-0.00991312555446375,0.0198568110887961,-0.0869234825703124,0.15026290041924,-0.152049651214337,0.0514696134467673,0.0232937296697891,-0.0469914889523249,-0.132324900315594,-0.0841264573741034,0.112305589298312
p7,0.0487282836136457,0.117978845133812,0.0201693845411256,0.404409196770015,0.0717462228869267,0.714276851381123,1,0.74634074462845,6.64926010706962e-05,0.000626969387894809,0.303966059650657,0.889199298624319,0.780179549960088,0.220991314965424,0.0336875661005703,0.0316073523119193,0.469183783338564,0.743363341525534,0.508766451563812,0.0617831243134717,0.236266141219892,0.11335341214214
