cLogisticRegressErgebnisse1,cLogisticRegressErgebnisse2,cLogisticRegressErgebnisse3,cLogisticRegressErgebnisse4,cLogisticRegressErgebnisse5,cLogisticRegressErgebnisse6
Variable,Estimate,SE,tStat,pValue,ODD-Ratio
Konstante,-11.0696276033729,4.61546273996237,-2.39837871672713,0.0164678290322967,1.55783628484607e-05
$X_{1}$ words,-0.000829493041399565,0.00130989794711642,-0.633250127023705,0.526570316061982,0.99917085089285
$X_{2}$ uppercases,42.7471470993085,31.6039509343722,1.35258870601578,0.17618706251246,3.67155554105908e+18
$X_{3}$ questions,9.20944250175928,7.44708415096892,1.23665079043871,0.216216755164369,9991.0253274795
$X_{4}$ exclamations,11.1087255206438,9.78448647279824,1.13534067950597,0.256232604043274,66751.0642959343
$X_{5}$ authors,-1.53016747715139,0.543094880746433,-2.81749567414136,0.00483997666585269,0.216499405575862
$X_{6}$ citations,-6.60011512526844,2.5971258393459,-2.54131510505887,0.0110436339753631,0.00136021143382709
$X_{7}$ firstperson,31.6632721264794,19.6232676733009,1.61355757122754,0.106623426188,56387697797339
$X_{8}$ secondperson,26.2231699843282,23.7461801092258,1.10431108766584,0.269458214767067,244668479025.901
$X_{9} $thirdperson,19.5633467185758,23.2815034916603,0.840295676161276,0.400742625145422,313511537.181127
$X_{10}$ sentencelength,0.141744258618121,0.0613772880075813,2.30939266330263,0.0209218017824092,1.15228192468034
$X_{11}$ repetitiveness,13.7829257423223,6.14479855997573,2.24302320211075,0.0248953183449304,967940.349867505
$X_{12}$ authorHits,5.6255580553998e-08,3.98513223882701e-08,1.41163648237069,0.158057024570835,1.00000005625558
$X_{13}$ titleUppercase,11.0866170220013,4.79309421893118,2.313039659895,0.0207204587188327,65291.4924041625
$X_{14}$ errorLevel,-5.68460019891311,18.1350405613816,-0.313459469785714,0.753931608585148,0.0033978914588055
$X_{15}$ sentiment,0.554925437994172,1.32328935816703,0.419353057265445,0.67495812594143,1.74181110700225
$X_{16}$ informativeness,-3.54727615630183,3.57719754010931,-0.991635523766305,0.321375353765878,0.0288029877384707
$X_{17}$ super. per Words ,-270.371869764289,406.747915137596,-0.664716055576652,0.506232122606968,3.79305289868927e-118
$X_{18}$ super. per Adj.,22.9935026904852,31.7851798410799,0.723403259174514,0.469432169469527,9681693685.93612
$X_{19}$usedsources,-129.951899409882,95.4160839722899,-1.36194962106831,0.173213784717846,3.65264254574353e-57
$X_{20}$internsources,-283.031537752565,87.1786207365208,-3.24657049356135,0.00116804517319227,1.20493868966615e-123
$X_{21}$externsources,34.6103379220954,104.904373760591,0.329922735167191,0.741458344275143,1.07418424020027e+15
$X_{22}$usedimages,9.62684795368364,42.7197723861719,0.225348765125907,0.821707966021524,15166.5550011705
