Row,words,uppercases,questions,exclamations,authors,citations,firstperson,secondperson,thirdperson,sentencelength,repetitiveness,authorHits,titleUppercase,errorLevel,sentiment,informativeness
words,1,-0.117695012090939,0.000355477629077979,-0.0134126360222987,0.475195887116245,-0.203293809102547,-0.140264243982389,-0.0978963883490764,0.055214850836046,-0.072191509547259,-0.790076280063972,-0.0638051681879896,-0.158092527387751,0.0583795970879282,0.0197723113282682,0.18859533127399
uppercases,-0.117695012090939,1,0.12745368509385,0.427685391735221,-0.0791552298181412,0.0351715821921327,0.111081239771264,0.0812762681818908,0.214502956788884,0.00274808013856354,0.166107863550654,-0.0123779505993838,0.0266504087358549,0.0243839630010635,-0.0515741520856575,-0.11185741594652
questions,0.000355477629077979,0.12745368509385,1,-0.0600355593584317,-0.0983500702442009,-0.0799958801714549,0.168904221885336,-0.0558539676962421,0.12097324229537,-0.0852758750301461,-0.0637023949210612,0.0552931902251182,0.125485285893189,0.0459806405644988,0.07573386825171,-0.0143135728013496
exclamations,-0.0134126360222987,0.427685391735221,-0.0600355593584317,1,-0.0981717636305983,-0.0191519703777355,0.0569048646614433,0.273163512017276,-0.135978951743547,0.039373821881413,0.0721628058487144,0.0280706153744594,-0.0052466506215732,-0.106682774497574,-0.0422850079719775,0.0332868560998467
authors,0.475195887116245,-0.0791552298181412,-0.0983500702442009,-0.0981717636305983,1,0.0945015995320394,-0.12786306226678,-0.160651717912988,0.0330837831076759,-0.143368155929812,-0.423201789254273,0.0584590509068684,-0.258438357530605,0.100116602169429,-0.0328046671597437,0.0672230622585563
citations,-0.203293809102547,0.0351715821921327,-0.0799958801714549,-0.0191519703777355,0.0945015995320394,1,0.00714138756306201,-0.00780218173186662,-0.00274048133167682,0.244801071094661,0.228288164810318,-0.0755934852120938,-0.170164085371295,-0.0376524595062682,-0.102356487315352,-0.229013283145262
firstperson,-0.140264243982389,0.111081239771264,0.168904221885336,0.0569048646614433,-0.12786306226678,0.00714138756306201,1,0.0230523320167415,0.278008029721972,-0.145719135612365,0.0735638907689382,-0.00773094565339798,0.0203043300269454,-0.0869834630836955,0.150436384729645,-0.152693686605035
secondperson,-0.0978963883490764,0.0812762681818908,-0.0558539676962421,0.273163512017276,-0.160651717912988,-0.00780218173186662,0.0230523320167415,1,-0.0347082635337763,-0.0673653691311839,0.121098829817064,-0.00845178788590082,-0.0133664957837472,-0.106542825790989,0.257797112614356,-0.0395012715613897
thirdperson,0.055214850836046,0.214502956788884,0.12097324229537,-0.135978951743547,0.0330837831076759,-0.00274048133167682,0.278008029721972,-0.0347082635337763,1,-0.12871325365843,0.0492069100415573,-0.0104181011499453,0.0466212769262319,0.118084357077934,0.126498563301301,-0.0611954690013718
sentencelength,-0.072191509547259,0.00274808013856354,-0.0852758750301461,0.039373821881413,-0.143368155929812,0.244801071094661,-0.145719135612365,-0.0673653691311839,-0.12871325365843,1,0.0825721482702195,-0.0088718607266342,-0.0979423885457337,0.0616357316747545,-0.29433449986281,-0.0379562882208207
repetitiveness,-0.790076280063972,0.166107863550654,-0.0637023949210612,0.0721628058487144,-0.423201789254273,0.228288164810318,0.0735638907689382,0.121098829817064,0.0492069100415573,0.0825721482702195,1,0.0499361906983542,0.111994557862539,-0.0523548997552581,-0.0362729796415949,-0.145950492149236
authorHits,-0.0638051681879896,-0.0123779505993838,0.0552931902251182,0.0280706153744594,0.0584590509068684,-0.0755934852120938,-0.00773094565339798,-0.00845178788590082,-0.0104181011499453,-0.0088718607266342,0.0499361906983542,1,0.16641161006409,-0.0144997731413885,0.00113055880317527,0.0344738966153115
titleUppercase,-0.158092527387751,0.0266504087358549,0.125485285893189,-0.0052466506215732,-0.258438357530605,-0.170164085371295,0.0203043300269454,-0.0133664957837472,0.0466212769262319,-0.0979423885457337,0.111994557862539,0.16641161006409,1,0.0764634769653244,0.0416240635824512,0.157108732799787
errorLevel,0.0583795970879282,0.0243839630010635,0.0459806405644988,-0.106682774497574,0.100116602169429,-0.0376524595062682,-0.0869834630836955,-0.106542825790989,0.118084357077934,0.0616357316747545,-0.0523548997552581,-0.0144997731413885,0.0764634769653244,1,-0.160826914181178,-0.000417110625288583
sentiment,0.0197723113282682,-0.0515741520856575,0.07573386825171,-0.0422850079719775,-0.0328046671597437,-0.102356487315352,0.150436384729645,0.257797112614356,0.126498563301301,-0.29433449986281,-0.0362729796415949,0.00113055880317527,0.0416240635824512,-0.160826914181178,1,0.0158561664183086
informativeness,0.18859533127399,-0.11185741594652,-0.0143135728013496,0.0332868560998467,0.0672230622585563,-0.229013283145262,-0.152693686605035,-0.0395012715613897,-0.0611954690013718,-0.0379562882208207,-0.145950492149236,0.0344738966153115,0.157108732799787,-0.000417110625288583,0.0158561664183086,1
