cLogisticRegressErgebnisse1,cLogisticRegressErgebnisse2,cLogisticRegressErgebnisse3,cLogisticRegressErgebnisse4,cLogisticRegressErgebnisse5,cLogisticRegressErgebnisse6
Variable,Estimate,SE,tStat,pValue,ODD-Ratio
Konstante,-6.1653133056788,4.86383516732508,-1.26758269833998,0.204947013792093,0.0021010599874328
$X_{1}$ words,-0.000381856476839163,0.00186084491887741,-0.205205964755798,0.837411209410487,0.999618216421066
$X_{2}$ uppercases,19.30200314367,28.799514295109,0.670219745579114,0.502717718349198,241408998.845733
$X_{3}$ questions,5.65151076975559,7.78409116495942,0.726033476482935,0.46781824846665,284.721289372715
$X_{4}$ exclamations,10.2492967263858,10.1349507142635,1.01128234515846,0.311881313517473,28262.6585474057
$X_{5}$ authors,-1.33027823479637,0.511106624674384,-2.60274113184087,0.00924817544739418,0.264403684759132
$X_{6}$ citations,-4.94897207557488,2.26238289080299,-2.18750419997136,0.0287057369501,0.00709069388165229
$X_{7}$ firstperson,34.3313770289113,20.3436943723226,1.6875684622759,0.0914940975053006,812695022409473
$X_{8}$ secondperson,27.2467068968262,24.6674432584623,1.10456145014052,0.269349662836806,680917436295.717
$X_{9} $thirdperson,31.1026941560026,23.3703375394286,1.33086199989746,0.183234422841728,32190553504190.7
$X_{10}$ sentencelength,0.126673731256322,0.0601461304359357,2.10609943379894,0.0351957160163242,1.13504662712428
$X_{11}$ repetitiveness,6.89490213432901,5.94468481161736,1.15984317971824,0.246112660155083,987.229104247823
$X_{12}$ authorHits,5.16576703569457e-08,4.67737153779203e-08,1.10441665665351,0.26941243860315,1.00000005165767
$X_{13}$ titleUppercase,11.3706415361652,4.8326463682739,2.35288094134363,0.0186285976076704,86737.4948787918
$X_{14}$ errorLevel,-10.914153865378,18.7020154135448,-0.583581695557447,0.559501778209183,1.81988188310947e-05
$X_{15}$ sentiment,0.0427077623034626,1.23800892575107,0.0344971360182664,0.97248072611696,1.0436328614182
$X_{16}$ informativeness,-3.62169415146316,3.5423973586383,-1.02238506434957,0.306598686682396,0.0267373409955135
$X_{17}$ super. per Words ,-188.232282762897,377.296600184208,-0.498897373236325,0.617851684655637,1.78549352679302e-82
$X_{18}$ super. per Adj.,14.2808626456738,29.2417952910492,0.488371610003203,0.625286647209359,1592574.81620555
$X_{19}$usedsources,-0.588723943892859,0.250347777856778,-2.35162440399077,0.0186916381287761,0.555035088954452
$X_{20}$internsources,-0.512316183741339,0.191363645210444,-2.67718658461978,0.00742432770320341,0.599106330214458
$X_{21}$externsources,0.593684148991102,0.25628582331575,2.31649234947994,0.0205314016766525,1.81064683527264
$X_{22}$usedimages,-0.778626563141676,0.427354140895859,-1.82197032538271,0.0684594883888642,0.459036035567463
